#nfr ene gross_mass volume density
# eV amu A3 g/cm3
90 -157577.93232852107 8935.920000000016 34770.90517779541 0.4267488631698919
91 -157578.8350661806 8935.920000000016 34770.90517779541 0.4267488631698919
92 -157581.54461251688 8935.920000000016 34770.90517779541 0.4267488631698919
93 -157581.0907810569 8935.920000000016 34770.90517779541 0.4267488631698919
94 -157580.38957090626 8935.920000000016 34770.90517779541 0.4267488631698919
95 -157580.88941681635 8935.920000000016 34770.90517779541 0.4267488631698919
96 -157580.63659584892 8935.920000000016 34770.90517779541 0.4267488631698919
97 -157580.6909097711 8935.920000000016 34770.90517779541 0.4267488631698919
98 -157580.3383862932 8935.920000000016 34770.90517779541 0.4267488631698919
99 -157579.1147447839 8935.920000000016 34770.90517779541 0.4267488631698919
100 -157567.47227256588 8935.920000000016 34770.90517779541 0.4267488631698919
101 -157565.3634991624 8935.920000000016 34770.90517779541 0.4267488631698919
102 -157564.71826282833 8935.920000000016 34770.90517779541 0.4267488631698919
103 -157562.18814835715 8935.920000000016 34770.90517779541 0.4267488631698919
104 -157563.768041304 8935.920000000016 34770.90517779541 0.4267488631698919
105 -157567.98207784246 8935.920000000016 34770.90517779541 0.4267488631698919
106 -157565.4910661299 8935.920000000016 34770.90517779541 0.4267488631698919
107 -157563.90583975185 8935.920000000016 34770.90517779541 0.4267488631698919
108 -157564.23980506594 8935.920000000016 34770.90517779541 0.4267488631698919
109 -157566.3578847627 8935.920000000016 34770.90517779541 0.4267488631698919
110 -157564.35297721138 8935.920000000016 34770.90517779541 0.4267488631698919
111 -157566.87405750313 8935.920000000016 34770.90517779541 0.4267488631698919
112 -157563.46713782128 8935.920000000016 34770.90517779541 0.4267488631698919
113 -157568.38333690882 8935.920000000016 34770.90517779541 0.4267488631698919
114 -157567.59222034592 8935.920000000016 34770.90517779541 0.4267488631698919
115 -157567.47643590762 8935.920000000016 34770.90517779541 0.4267488631698919
116 -157563.27736563026 8935.920000000016 34770.90517779541 0.4267488631698919
117 -157566.96205911852 8935.920000000016 34770.90517779541 0.4267488631698919
118 -157565.5721288424 8935.920000000016 34770.90517779541 0.4267488631698919
119 -157564.3289223481 8935.920000000016 34770.90517779541 0.4267488631698919
120 -185861.47175915237 10016.819999999912 34770.90517779541 0.47836893655912227
121 -185860.25962805838 10016.819999999912 34770.90517779541 0.47836893655912227
122 -185861.3742335526 10016.819999999912 34770.90517779541 0.47836893655912227
123 -185858.84498984576 10016.819999999912 34770.90517779541 0.47836893655912227
124 -185858.61943468492 10016.819999999912 34770.90517779541 0.47836893655912227
125 -185861.69772248392 10016.819999999912 34770.90517779541 0.47836893655912227
126 -185861.23205407197 10016.819999999912 34770.90517779541 0.47836893655912227
127 -185861.86980727545 10016.819999999912 34770.90517779541 0.47836893655912227
128 -185859.4568378118 10016.819999999912 34770.90517779541 0.47836893655912227
129 -185860.9204565154 10016.819999999912 34770.90517779541 0.47836893655912227
130 -185862.03903487165 10016.819999999912 34770.90517779541 0.47836893655912227
131 -185858.62022381506 10016.819999999912 34770.90517779541 0.47836893655912227
132 -185860.96717846146 10016.819999999912 34770.90517779541 0.47836893655912227
133 -185860.32330269663 10016.819999999912 34770.90517779541 0.47836893655912227
134 -185861.34889975426 10016.819999999912 34770.90517779541 0.47836893655912227
135 -185860.1756537278 10016.819999999912 34770.90517779541 0.47836893655912227
136 -185860.31753388324 10016.819999999912 34770.90517779541 0.47836893655912227
137 -185858.61097194455 10016.819999999912 34770.90517779541 0.47836893655912227
138 -185859.63708601848 10016.819999999912 34770.90517779541 0.47836893655912227
139 -185861.79045888013 10016.819999999912 34770.90517779541 0.47836893655912227
140 -185843.4700681608 10016.819999999912 34770.90517779541 0.47836893655912227
141 -185843.0564823375 10016.819999999912 34770.90517779541 0.47836893655912227
142 -185842.84358047022 10016.819999999912 34770.90517779541 0.47836893655912227
143 -185842.92649355685 10016.819999999912 34770.90517779541 0.47836893655912227
144 -185841.43590837182 10016.819999999912 34770.90517779541 0.47836893655912227
145 -185846.0171353241 10016.819999999912 34770.90517779541 0.47836893655912227
146 -185843.390474863 10016.819999999912 34770.90517779541 0.47836893655912227
147 -185844.67743726258 10016.819999999912 34770.90517779541 0.47836893655912227
148 -185843.25447236648 10016.819999999912 34770.90517779541 0.47836893655912227
149 -185843.87339529235 10016.819999999912 34770.90517779541 0.47836893655912227
150 -185843.60522710442 10016.819999999912 34770.90517779541 0.47836893655912227
151 -185843.3596171537 10016.819999999912 34770.90517779541 0.47836893655912227
152 -185843.0504414103 10016.819999999912 34770.90517779541 0.47836893655912227
153 -185842.4218040204 10016.819999999912 34770.90517779541 0.47836893655912227
154 -185843.50533411428 10016.819999999912 34770.90517779541 0.47836893655912227
155 -185844.94236729582 10016.819999999912 34770.90517779541 0.47836893655912227
156 -185841.18047511153 10016.819999999912 34770.90517779541 0.47836893655912227
157 -185843.42206727967 10016.819999999912 34770.90517779541 0.47836893655912227
158 -185842.7938652719 10016.819999999912 34770.90517779541 0.47836893655912227
159 -185842.1556222635 10016.819999999912 34770.90517779541 0.47836893655912227
160 -185826.69509356492 10016.819999999912 34770.90517779541 0.47836893655912227
161 -185823.87909629496 10016.819999999912 34770.90517779541 0.47836893655912227
162 -185825.17239894695 10016.819999999912 34770.90517779541 0.47836893655912227
163 -185824.32345819336 10016.819999999912 34770.90517779541 0.47836893655912227
164 -185823.43688409586 10016.819999999912 34770.90517779541 0.47836893655912227
